StartTime: 2020-10-22 19:02:08.687
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 19:05:01.432	-0.0142	-0.0024	1.0000	0.0000	0.0000	0.0000	-0.1428	0.7965	97.3444	30.63	87	-10	-228
0x50	 19:05:01.482	-0.0137	-0.0020	0.9995	0.0000	0.0000	0.0000	-0.1428	0.7965	97.3279	30.65	88	-9	-227
0x50	 19:05:01.532	-0.0142	-0.0024	1.0000	0.0000	0.0000	0.0000	-0.1428	0.7965	97.3169	30.68	88	-10	-227
0x50	 19:05:01.581	-0.0142	-0.0024	1.0000	0.0000	0.0000	0.0000	-0.1428	0.7965	97.3169	30.67	86	-9	-226
0x50	 19:05:01.631	-0.0142	-0.0029	1.0000	0.0000	0.0000	0.0000	-0.1428	0.7965	97.3224	30.67	87	-10	-224
0x50	 19:05:01.681	-0.0142	-0.0024	1.0000	0.0000	0.0000	0.0000	-0.1428	0.7965	97.3389	30.67	85	-10	-224
0x50	 19:05:01.731	-0.0137	-0.0024	1.0000	0.0000	0.0000	0.0000	-0.1428	0.7965	97.3279	30.67	84	-10	-223
0x50	 19:05:01.795	-0.0142	-0.0029	1.0000	0.0000	0.0000	0.0000	-0.1428	0.7965	97.3004	30.66	85	-9	-226
0x50	 19:05:01.831	-0.0142	-0.0029	0.9995	0.0000	0.0000	0.0000	-0.1428	0.7965	97.2620	30.65	85	-10	-226
0x50	 19:05:01.881	-0.0137	-0.0024	1.0000	0.0000	0.0000	0.0000	-0.1428	0.7965	97.2620	30.67	88	-11	-228
0x50	 19:05:01.931	-0.0137	-0.0034	1.0000	0.0000	0.0000	0.0000	-0.1428	0.7965	97.2455	30.68	87	-10	-227
0x50	 19:05:01.980	-0.0142	-0.0024	1.0000	0.0000	0.0000	0.0000	-0.1428	0.7965	97.2400	30.64	86	-8	-227
0x50	 19:05:02.030	-0.0137	-0.0024	1.0000	0.0000	0.0000	0.0000	-0.1428	0.7965	97.2235	30.68	88	-10	-225
0x50	 19:05:02.080	-0.0142	-0.0024	1.0000	0.0000	0.0000	0.0000	-0.1428	0.7965	97.2180	30.65	85	-10	-226
0x50	 19:05:02.130	-0.0137	-0.0024	0.9995	0.0000	0.0000	0.0000	-0.1428	0.7965	97.1960	30.65	85	-9	-227
0x50	 19:05:02.197	-0.0142	-0.0024	1.0000	0.0000	0.0000	0.0000	-0.1428	0.7965	97.1906	30.67	86	-11	-225
0x50	 19:05:02.229	-0.0137	-0.0024	0.9995	0.0000	0.0000	0.0000	-0.1428	0.7965	97.2235	30.67	85	-11	-226
0x50	 19:05:02.280	-0.0146	-0.0024	1.0000	0.0000	0.0000	0.0000	-0.1428	0.7965	97.2455	30.67	85	-12	-224
0x50	 19:05:02.329	-0.0142	-0.0024	0.9995	0.0000	0.0000	0.0000	-0.1428	0.7965	97.2620	30.68	85	-9	-224
0x50	 19:05:02.379	-0.0142	-0.0020	0.9995	0.0000	0.0000	0.0000	-0.1428	0.7965	97.2510	30.65	84	-9	-225
0x50	 19:05:02.429	-0.0137	-0.0029	0.9995	0.0000	0.0000	0.0000	-0.1428	0.7965	97.2180	30.67	84	-8	-226
